iteration,pct_concluded,pct_optimal,pct_err10,pct_err20,pct_err30,pct_err40,pct_err50,mean_diff_iter,mean_reward_iter,min_reward_iter,max_reward_iter,ep1_diff,ep2_diff,ep3_diff,ep4_diff,ep5_diff,ep6_diff,ep7_diff,ep8_diff,ep9_diff,ep10_diff
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6032,-5.0348,-1.3243,-,-,-,-,-,-,-,-,-,-
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.962,-5.0,-4.8256,-,-,-,-,-,-,-,-,-,-
3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,215.88,-0.9051,-1.4573,0.9745,-,-,-,205.94,-,-,225.81,-,-,-
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6012,-5.0298,-1.3916,-,-,-,-,-,-,-,-,-,-
5,40.0,0.0,0.0,0.0,10.0,10.0,10.0,188.12,-2.3422,-5.2402,1.0876,-,-,-,28.42,83.13,-,557.73,-,83.18,-
6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,-3.2499,-5.0333,1.0333,0.0,-,-,-,-,-,-,-,-,-
7,20.0,0.0,0.0,0.0,0.0,0.0,0.0,244.02,-2.0015,-5.0512,0.9745,262.22,-,-,-,-,-,225.81,-,-,-
8,10.0,0.0,0.0,10.0,10.0,10.0,10.0,15.03,-1.4615,-5.0562,1.1687,-,15.03,-,-,-,-,-,-,-,-
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6029,-5.1234,-1.1927,-,-,-,-,-,-,-,-,-,-
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,-4.003,-5.028,1.0333,0.0,-,-,-,-,-,-,-,-,-
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5108,-5.0574,-1.1481,-,-,-,-,-,-,-,-,-,-
12,50.0,20.0,20.0,20.0,20.0,20.0,20.0,296.11,-1.2921,-4.9667,1.0333,-,-,147.45,-,0.0,-,843.42,-,0.0,489.7
13,50.0,10.0,20.0,30.0,30.0,30.0,30.0,125.46,-0.1741,-1.3969,1.1799,262.22,-,4.6,-,-,-,0.0,16.3,-,344.2
14,50.0,30.0,40.0,40.0,40.0,40.0,40.0,20.79,-1.2301,-5.0,1.1333,0.0,-,-,-,0.0,7.4,-,-,0.0,96.53
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1526,-4.9671,-1.221,-,-,-,-,-,-,-,-,-,-
16,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-2.2956,-4.9873,1.0333,-,-,-,-,0.0,-,-,-,0.0,-
17,50.0,20.0,20.0,20.0,20.0,20.0,30.0,92.47,-0.8697,-4.9274,1.098,194.93,-,-,43.06,0.0,-,224.34,-,0.0,-
18,30.0,0.0,0.0,0.0,0.0,10.0,10.0,127.13,-1.7247,-5.152,1.037,-,-,-,37.86,171.83,-,-,-,171.7,-
19,70.0,20.0,20.0,20.0,20.0,20.0,20.0,139.13,-0.4437,-5.0688,1.0635,0.0,-,-,72.36,171.83,227.5,330.51,-,171.7,0.0
20,50.0,10.0,10.0,10.0,10.0,10.0,10.0,159.64,-2.0144,-5.2179,1.0741,-,117.4,159.31,-,349.79,-,-,-,171.7,0.0
21,50.0,10.0,10.0,10.0,10.0,10.0,10.0,98.92,-0.8745,-4.9971,1.0635,-,-,-,66.78,171.83,-,84.29,-,171.7,0.0
22,70.0,10.0,10.0,10.0,10.0,10.0,10.0,173.43,-0.4844,-5.0116,1.0837,0.0,197.35,195.75,-,83.69,552.14,-,101.3,83.75,-
23,50.0,20.0,20.0,20.0,20.0,20.0,30.0,110.29,-0.1682,-1.5671,1.1055,83.13,-,42.03,-,0.0,-,-,-,0.0,426.3
24,80.0,30.0,50.0,50.0,50.0,50.0,50.0,76.96,0.212,-4.9476,1.1796,0.0,3.18,4.6,-,0.0,127.53,-,85.41,0.0,394.93
25,50.0,20.0,20.0,20.0,20.0,20.0,20.0,224.25,-2.005,-5.1844,1.0333,379.09,-,-,176.05,0.0,-,566.12,-,0.0,-
26,60.0,40.0,50.0,50.0,50.0,50.0,50.0,42.84,0.0892,-1.4189,1.1704,0.0,2.51,-,-,0.0,-,0.0,254.56,0.0,-
27,20.0,10.0,10.0,10.0,10.0,10.0,10.0,33.7,-3.7697,-4.9915,1.0333,0.0,-,-,67.39,-,-,-,-,-,-
28,30.0,10.0,10.0,10.0,10.0,10.0,10.0,55.81,-0.6223,-1.434,1.0333,-,-,-,-,83.69,-,0.0,-,83.75,-
29,20.0,0.0,0.0,0.0,0.0,0.0,0.0,83.72,-2.6722,-4.9837,1.016,-,-,-,-,83.69,-,-,-,83.75,-
30,60.0,0.0,10.0,10.0,10.0,10.0,10.0,108.29,-0.2749,-4.9575,1.0995,-,-,0.31,67.76,171.83,-,127.85,110.31,171.7,-
