iteration,pct_concluded,pct_optimal,pct_err10,pct_err20,pct_err30,pct_err40,pct_err50,mean_diff_iter,mean_reward_iter,min_reward_iter,max_reward_iter,ep1_diff,ep2_diff,ep3_diff,ep4_diff,ep5_diff,ep6_diff,ep7_diff,ep8_diff,ep9_diff,ep10_diff
1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,64.03,-3.2792,-4.9915,1.0305,-,-,-,-,-,-,-,-,-,64.03
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.971,-5.0,-4.882,-,-,-,-,-,-,-,-,-,-
3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,312.97,-0.2452,-1.4375,0.9745,262.22,-,-,210.12,-,-,225.81,140.66,-,726.02
4,20.0,10.0,10.0,10.0,10.0,10.0,10.0,32.1,-3.7613,-5.0367,1.0635,-,64.19,-,-,-,-,-,-,-,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9929,-5.129,-4.9192,-,-,-,-,-,-,-,-,-,-
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7776,-5.1442,-1.2536,-,-,-,-,-,-,-,-,-,-
7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,73.91,-3.2847,-5.0783,1.0451,-,73.91,-,-,-,-,-,-,-,-
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2838,-5.189,-1.1687,-,-,-,-,-,-,-,-,-,-
9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,-3.653,-5.1492,1.0333,0.0,-,-,-,-,-,-,-,-,-
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7434,-5.2602,-2.3972,-,-,-,-,-,-,-,-,-,-
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0541,-5.1997,-1.1634,-,-,-,-,-,-,-,-,-,-
12,20.0,0.0,0.0,0.0,0.0,0.0,0.0,408.56,-3.83,-5.1373,1.0021,-,-,662.25,-,-,-,-,-,-,154.88
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2261,-4.9896,-1.2026,-,-,-,-,-,-,-,-,-,-
14,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,-4.0138,-5.0782,1.0333,0.0,-,-,-,-,-,-,-,-,-
15,10.0,0.0,0.0,0.0,0.0,0.0,0.0,130.58,-2.9668,-5.1251,0.9494,-,-,-,-,-,-,-,130.58,-,-
16,50.0,10.0,20.0,20.0,20.0,20.0,20.0,115.84,-0.1593,-1.3583,1.087,0.0,242.9,4.6,-,-,86.3,-,-,-,245.4
17,30.0,0.0,10.0,10.0,10.0,10.0,10.0,55.92,-2.4219,-5.0901,1.0995,-,-,0.31,-,83.69,-,-,-,83.75,-
18,20.0,0.0,0.0,0.0,0.0,0.0,10.0,106.29,-2.6544,-5.1574,1.1138,170.5,-,42.08,-,-,-,-,-,-,-
19,40.0,0.0,0.0,0.0,0.0,10.0,10.0,258.56,-2.3164,-5.1738,1.1597,-,-,105.19,-,-,532.84,-,40.12,-,356.07
20,40.0,0.0,10.0,10.0,10.0,10.0,10.0,311.83,-1.8697,-4.9667,1.1796,955.79,3.18,-,-,-,-,224.34,-,-,64.03
21,50.0,0.0,0.0,0.0,0.0,0.0,0.0,98.48,-1.2478,-5.1357,1.0729,-,-,58.44,-,83.69,138.68,127.85,-,83.75,-
22,50.0,0.0,0.0,0.0,0.0,0.0,10.0,136.51,-1.9975,-5.0361,1.0667,-,-,189.35,-,171.83,100.51,-,-,171.7,49.16
23,50.0,0.0,0.0,0.0,0.0,0.0,0.0,140.06,-0.5403,-5.0231,1.0299,-,-,159.36,-,83.69,171.33,-,-,83.75,202.16
24,20.0,0.0,0.0,0.0,0.0,0.0,0.0,171.76,-3.8073,-5.1473,0.9845,-,-,-,-,171.83,-,-,-,171.7,-
25,20.0,0.0,0.0,0.0,0.0,0.0,0.0,83.72,-2.3713,-5.1437,1.016,-,-,-,-,83.69,-,-,-,83.75,-
26,80.0,20.0,20.0,20.0,20.0,20.0,30.0,138.88,0.1628,-4.9333,1.0667,0.0,-,535.64,-,71.06,164.44,0.0,219.84,70.92,49.16
27,60.0,0.0,0.0,10.0,10.0,10.0,10.0,321.27,-0.7268,-5.1865,1.1885,183.81,14.94,-,-,579.57,-,350.99,140.57,657.72,-
28,20.0,0.0,0.0,0.0,0.0,0.0,0.0,173.02,-2.3289,-5.1124,1.0018,183.81,-,162.24,-,-,-,-,-,-,-
29,10.0,0.0,0.0,0.0,0.0,0.0,0.0,111.14,-2.0363,-5.0908,0.9808,-,-,-,-,-,-,-,-,-,111.14
30,30.0,0.0,0.0,0.0,0.0,0.0,0.0,72.93,-0.6149,-1.4072,1.0643,-,-,51.34,-,83.69,-,-,-,83.75,-
31,50.0,30.0,40.0,40.0,40.0,40.0,40.0,42.56,-1.261,-5.1473,1.1815,0.0,0.17,-,-,0.0,-,-,212.61,0.0,-
32,50.0,0.0,0.0,0.0,0.0,0.0,0.0,173.72,-0.5363,-4.996,1.016,263.47,-,-,211.88,83.69,-,225.81,-,83.75,-
33,50.0,30.0,30.0,30.0,30.0,30.0,30.0,68.71,-1.2607,-5.2258,1.1649,0.0,0.0,-,-,171.83,-,-,-,171.7,0.0
34,40.0,0.0,0.0,0.0,0.0,0.0,10.0,229.63,-1.8937,-5.2579,1.0898,-,-,47.4,-,-,-,225.81,105.03,-,540.27
35,70.0,10.0,20.0,20.0,20.0,40.0,40.0,126.54,-0.0614,-4.9841,1.1618,0.0,-,0.31,68.25,-,227.77,-,36.7,513.51,39.21
36,50.0,0.0,0.0,0.0,0.0,0.0,0.0,231.25,-0.9431,-5.0023,1.0276,-,200.87,338.17,-,270.82,-,-,-,273.47,72.91
37,30.0,0.0,0.0,0.0,0.0,0.0,10.0,226.12,-1.7335,-5.1446,1.0667,-,-,-,-,312.36,-,-,-,316.84,49.16
38,80.0,0.0,0.0,10.0,10.0,10.0,20.0,224.92,0.4903,-1.3149,1.1103,179.81,103.07,48.6,182.15,603.16,59.54,14.67,-,608.38,-
39,60.0,20.0,20.0,30.0,30.0,30.0,30.0,47.95,0.0967,-1.4376,1.0907,-,-,-,102.38,0.0,59.54,14.67,-,0.0,111.14
40,50.0,20.0,20.0,20.0,20.0,20.0,20.0,95.57,-0.1681,-1.4376,1.0907,-,-,239.08,-,0.0,59.54,-,-,0.0,179.22
41,100.0,30.0,30.0,30.0,30.0,30.0,30.0,162.01,0.9905,0.8434,1.1178,439.98,86.03,151.7,0.0,0.0,59.54,583.56,120.06,0.0,179.22
42,60.0,20.0,20.0,20.0,20.0,20.0,30.0,37.46,0.1034,-1.432,1.0877,-,58.46,58.94,-,0.0,60.11,-,-,0.0,47.22
43,60.0,20.0,20.0,20.0,20.0,30.0,30.0,112.45,-1.3576,-4.9795,1.1606,-,-,106.03,-,0.0,-,478.13,35.96,0.0,54.6
44,70.0,20.0,20.0,20.0,20.0,20.0,20.0,181.1,0.2769,-1.4333,1.0907,398.82,-,206.07,-,0.0,59.54,382.53,220.74,0.0,-
45,80.0,30.0,30.0,30.0,30.0,40.0,40.0,81.2,0.5246,-1.4241,1.146,183.81,32.89,231.35,-,0.0,0.0,-,83.54,0.0,118.0
46,80.0,0.0,0.0,0.0,0.0,0.0,0.0,120.11,-0.198,-4.9841,1.0759,280.71,89.22,105.99,137.73,-,76.52,84.29,123.0,-,63.4
47,60.0,10.0,10.0,10.0,10.0,10.0,20.0,201.01,0.079,-1.4305,1.0942,-,-,58.89,-,521.0,54.12,0.0,-,524.81,47.22
48,70.0,30.0,30.0,30.0,30.0,30.0,40.0,136.52,0.3314,-1.3602,1.1519,-,-,0.0,-,0.0,247.9,285.02,49.36,0.0,373.39
49,50.0,20.0,20.0,30.0,30.0,30.0,30.0,51.54,-0.1466,-1.4333,1.0333,83.69,-,159.36,-,0.0,-,14.67,-,0.0,-
50,80.0,50.0,50.0,50.0,50.0,70.0,70.0,35.77,0.5792,-1.3093,1.1519,-,31.65,0.0,-,0.0,0.0,0.0,215.27,0.0,39.21
51,50.0,30.0,30.0,30.0,40.0,40.0,40.0,28.9,-0.1307,-1.3605,1.1453,-,28.62,-,-,0.0,-,0.0,115.87,0.0,-
52,70.0,20.0,30.0,40.0,50.0,50.0,50.0,42.28,0.3295,-1.4572,1.1453,-,28.62,4.6,-,0.0,18.67,-,102.02,0.0,142.08
53,90.0,30.0,40.0,40.0,40.0,50.0,60.0,52.83,0.8275,-1.231,1.1333,266.94,31.48,0.31,-,0.0,61.61,0.0,65.97,0.0,49.16
54,80.0,30.0,40.0,40.0,40.0,50.0,60.0,42.11,-0.1504,-4.9795,1.1479,-,33.03,4.6,-,0.0,61.61,0.0,188.51,0.0,49.16
55,70.0,10.0,20.0,20.0,20.0,20.0,30.0,51.81,-0.3628,-4.9795,1.1133,-,-,4.6,-,83.69,61.61,0.0,79.83,83.75,49.16
56,100.0,0.0,10.0,10.0,10.0,10.0,20.0,103.26,1.0309,0.855,1.1133,263.47,58.67,0.31,126.34,83.69,61.61,225.81,79.83,83.75,49.16
57,60.0,20.0,30.0,40.0,40.0,40.0,40.0,31.56,-0.6049,-4.93,1.1911,-,17.32,4.6,-,83.69,-,0.0,-,83.75,0.0
58,70.0,10.0,20.0,20.0,20.0,20.0,20.0,61.6,0.2985,-1.5148,1.0995,-,86.42,0.31,67.25,83.69,-,0.0,109.79,83.75,-
59,80.0,30.0,40.0,50.0,50.0,50.0,60.0,48.15,0.5706,-1.5148,1.1911,-,17.32,0.31,-,0.0,73.61,0.0,244.78,0.0,49.16
